CVE_PROD,DESC1,DESC2,TRANS
SNA7,SUPLEMENTOS,,1
NAT15,"BIOFLAVONOIDES , LACTOBACILOS , VITAMINA C",,3
SNA29,SUPLEMENTOS,,3
NAT12,"MIEL DE ABEJA, EXTRACTO DE PLANTAS 120ML",,3
DAN4,"CENTELLA ASIATICA, GINKGO BILOBA, SEMILLA DE UVA, 60/20/10MG, 30 GRAG.",,3
ALPH11,"TERBINAFINA, 1%, 30 ML, SPRAY.",,3
NAT17,"COLAGENO, 200GR, POLVO.",,3
NAT18,"COLAGENO, 700MG, 60 TABS.",,1
ACO9,"PANTOPRAZOL, 40 MG, 7 TABS.",,1
NAT19,"MULTIVITAMINICO, B3, B5,B2,  B1, B6. 670MG,30TABS.",,1
SNA8,"COMPLEJO B, 50 TABS.",,3
LROY12,"AGUA OXIGENADA, 110 ML.",,1
LIF24,"CLOTRIMAZOL, 2 %, 20 G, 2 APLICADORES CREMA.",,1
CMD41,"REPELENTE DE PIOJOS, MENTA 125 ML, SPRAY.",,3
DAN3,CITRONELA 125ML SPRAY.,,3
SNA26,"MELATONINA, 3MG, 60 TABS.",,3
MAV195,"EPINASTINA, 20MG, 10 TABS.",,1
SNA13,SUPLEMENTOS,,3
CMD42,"CASTAÑO DE  INDIAS, 45 CAPS.",,1
SON40,"LINCOMICINA, 600MG, 1 AMP. INY.",,1
SON41,"ACIDO NALIDIXICO, FENAZOPIRIDINA,  500/ 50MG, 20 TABS. 
",,3
SON42,"BUTILHIOSCINA, 20MG, 3 AMP, INY.",,1
SON43,"MEDROXIPROGESTERONA, ESTRADIOL, 25/5MG, 5ML, 1 AMP, INY.",,1
DAN13,ACEITE DE PESCADO DE  AGUA FRIA C/100 CAPSULA DE GELATINA BLANDA  (PHARMADAN),,1
AVIVIA11,"KETOROLACO, 10MG, 10 TABS.",,3
SNA10,"MIEL DE AGAVE, MEZCLA DE PLANTAS 250ML.",,3
HORM15,"NITAZOXANIDA. 60G. 100MG/5ML, 30ML.",,1
AMS61,"HIOSCINA, 20 MG, 1ML, 3 AMP. BUTILHIOSCINA",,3
AVIVIA47,"FELODIPINO, 5 MG, 20 TABS. RECUBIERTAS",,3
FAR1,"GINKGO BILOBA, 40 MG., 30 CAPS.",,3
SNA28,SUPLEMENTOS,,1
NAT33,"GLUCOSAMINA, CONDROITINA, MSM, COLAGENO, C, 950MG, 30 CAPS.",,3
MAV87,"HIEDRA COMPUESTA, 10.83/0.54G, 120ML, JBE.",,3
NOV71,PARACETAMOL 1000/100ML. INY,,3
SNA31,"HIERBA DE SAN JUAN, 150MG, 60 TABS.",,3
NAT5,"HIERRO, FRASCO 240ML. SUSP.",,1
NAT32,"HOJAS DE GUAYABA, 500MG, 30 TABS.",,3
SNA4,SUPLEMENTOS,,1
SNA32,SUPLEMENTOS,,1
NAT22,"LACTOBACILOS, 500MG, 30 TABS,
MASTICABLES SABOR UVA",,3
NAT23,"LACTOBACILOS, 30 TABS, MASTICABLES.",,3
MAV191,"METFORMINA, 850MG, 30 TABS.",,1
GEL1,"LACTOBACILOS, 0.53G., 30 CAPS.",,1
ULTR40,"SILDENAFIL 100MG , 8 TAB",,1
NAT16,"L-CARNITINA, FIBRA Y COMPLEJO B, 30 CAP.",,3
FAR5,"LECITINA DE SOYA, 1200MG, 100 CAPS.",,1
FAR6,"LECITINA DE SOYA, ALGA ESPIRULINA, 8.00/300.00MG., 120 CAPS.",,1
FAR7,"LECITINA DE SOYA, SULFATO DE POTASIO, VITAMINAS B, 40.00MG./20.00MG/8.00MCG., 120 CAPS.",,1
BEL35,PEINE SACA PIOJOS Y LIENDRES,,3
LAND5,METFORMINA/GLIBENCLAMIDA 500/5 C/60 TABS,,1
CON34,"SULFATO FERROSO,15 ML GTS.",,3
NAT30,"PALETA PROPOLEO, 400MG, 40 PZAS.",,3
FAR9,"OMEGA 3 (ACEITE DE PESCADO), 150MG., 100 CAPS.",,3
ALPH9,"METFORMINA, 850 MG, 30 TABS.",,3
SNA15,"MIEL DE ABEJA, MEZCLA DE PLANTAS, 100 CARAMELOS.",,1
SNA16,"MIEL DE ABEJA, MEZCLA DE PLANTAS, 240ML, JBE, INF.",,3
SNA18,"MIEL DE ABEJA, MEZCLA DE PLANTAS, 120ML, JBE. AD.",,3
SNA19,"MIEL DE ABEJA, MEZCLA DE PLANTAS, 240ML, JBE. AD.",,3
SER27,"OSELTAMIVIR, 45MG, 10 CAPS.",,1
VAR104,TRAMADOL 100 MG C/50  CAPS (LAB. SBL PHARMACEUTICALS),,3
FAR4,CASSIA ANGUSTIFOLIA 12 MG C/30 CAPS,,1
GEL13,"SENÓSIDOS A-B,CONCENTRADO DE CIRUELA, 12/50MG., 30 PERLAS",,3
NAT40,"SUPLEMENTO ALIMENTICIO, L-TEANINA, L-TRIPTOFANO, INOSITOL60 CAPS.",,3
SNA30,"VALERIANA, PASIFLORA, AVENA, MUERDAGO. TABS, CAJA C/40 SIMPLEX",,3
BIO4,"VALERIANA, PASIFLORA, TILA, MANITA, TUMBA VAQUERO 500MG, CAJA C/30
 (BCLABS)",,3
AVIVIA20,"CLINDAMICINA, 300MG, 16 CAPS.   AVIVIA",,3
BRU88,"METFORMINA, 850MG, 30 TABS.",,1
FAR10,"VITAMINA A (PALMITATO DE RETINOL), 50000UI,  40 CAPS.",,3
SNA9,"VITAMINAS, MINERALES, 250ML, JBE. INF.",,3
CON25,"QUINFAMIDA, ALBENDAZOL,150/200MG, 2 TABS.",,3
CON26,"GUAIFENESINA, OXOLAMINA, 2.00/1.00 G ,140 ML, SUSP..",,1
GROS2,"FLOROGLUCINOL, TRIMETILFLOROGLUCINOL, 40MG./40MCG., 5 AMP.",,1
DKT1,PRESERVATIVO CLASICO. 3PZAS.,,3
DKT2,"PRESERVATIVO SABOR, COLOR  Y AROMA FRESA 3 PZAS.",,3
DKT3,"PRESERVATIVO SABOR, COLOR  Y AROMA CHOCOLATE 3 PZAS.",,3
DKT4,"PRESERVATIVO SABOR, COLOR  Y AROMA NARANJA 3 PZAS.",,3
DKT5,"PRESERVATIVO SABOR, COLOR  Y AROMA UVA, 3 PZAS.",,3
DKT6,"PRESERVATIVO SABOR, COLOR  Y AROMA MENTA 3 PZAS.",,3
DKT7,"PRESERVATIVO CLASICO, 100 PZAS. prudence clasico c/100 vitrolero",,3
DKT8,"PRESERVATIVO MIX, 5 PZAS. 
PRUDENCE",,1
DKT9,"PRESERVATIVO MIX, 10 PZAS.",,3
DKT10,"PRESERVATIVO EXTRA TIME  RETARDANTE, 3 PZAS.",,3
DKT11,"PRESERVATIVO SENSITIVE, 3 PZAS",,3
DKT12,PRESERVATIVO EXTRAFUERTE. 3 PZAS. PRUDENCE,,3
GEL11,"VITAMINAS Y MINERALES PARA COMPLEMENTAR LA ALIMENTACION., 30 CAPS.",,3
GEL7,"VITAMINAS Y MINERALES PARA LA ETAPA DE GESTACIÓN, 1.59G., 30 CAPS.",,3
GEL8,"VITAMINA A, B1, B2, B5, B6, B9, B12, C, D2, E, EXTRACTO DE RAIZ DE GINSENG, GINKO BILOB",,1
GEL9,"VITAMINAS Y MINERALES PARA LA ETAPA GERIATRICA, (MAYORES DE 50 AÑOS), 30 CAPS.",,3
GEL10,"VITAMINAS Y MINERALES PARA ADULTOS CON EXCESO DE TRABAJO FISICO Y MENTAL., 1.34G., 30 CAPS.",,3
GEL14,"VITAMINAS Y MINERALES PARA LA ETAPA ADOLESCENTE., 1.29G., 30 CAPS.",,1
GEL33,"VITAMINAS Y MINERALES PARA LA SALUD SEXUAL., 1.13G., 30 CAPS.",,3
NAT39,"MULTIVITAMINICO, A, C, B1, B2, B3, B5, B6, B12, D12, C/30 CAPS.",,3
NAT2,"VITAMINA A, C, D3, FRASCO 30ML. GOTAS.",,3
NAT4,"VITAMINA C, 225G, 60,GOMITAS.",,3
NAT3,"VITAMINA C, B1, B6, 400MG, 80 TABS. MASTICABLE",,3
DAN2,"VITAMINA C, MASTICABLES, 60 TABS.",,3
FAR11,"VITAMINA E, 400MG., 90 CAPS.",,3
DEG47,"FUMARATO FERROSO, 200MG., 50 COMPS.",,3
MAV54,"AMBROXOL, DEXTROMETORFANO, 225/225MG, 120ML, SOL, ADUL.
",,3
SON31,"CLORANFENICOL, HIDROCORTISONA, 10/5MG, 15ML, GTS.",,3
RAAM1,ACECLOFENACO 100MG C/10 TAB,,3
RAAM2,KETOROLACO 10 MG C/20 TAB,,3
RAAM3,KETOROLACO/TRAMADOL 10MG/25MG C/10 CAPS,,3
RAAM4,NAPROXENO/PARACETAMOL 275 MG/300 MG C/12 TAB  FLAXENOL,,3
ALPH3,"METAMIZOL, SODICO 500,MG 10 TABS.",,1
ALPH4,"RISPERIDONA, 2 MG, 40 TABS.",150M2009 SSA IV,3
LROY10,,,3
ACO12,"GLIMEPIRIDA, 2 MG, 30 TABS.",,3
ALPH5,"FENITOINA ,100 MG,50 TABS.",,3
SON44,"ALGESTONA, ESTRADIOL 150/10MG, 1 AMP. INY.  ANTICONCEPTIVO PERLUDIL",,3
AMS106,"GENTAMICINA 80MG, 1 AMP, INY.",,3
SON46,,,1
SON47,"INDOMETASONA, BETAMETASONA, METOCARBAMOL, 25/0.75/215MG, 20 CAPS.",,3
MAV130,"CEFACLOR, 125MG, 75ML, SUSP.",,3
MAV131,"KETOROLACO, 30MG, 3 AMPS, INY.",,1
CON27,"GUAIFENESINA, OXOLAMINA, 2.50/1.25 G, 60 ML, SUSP.",,1
FAR14,"VITAMINA E, 400MG., 30 CAPS",,3
MAV132,"VALSARTAN, 80MG, 30 COMPS.",,1
MAV133,"LOSARTAN, HIDROCLOROTIAZIDA, 50/12.5MG, 30 COMPS.",,3
MAV134,"PREGABALINA, 75MG, 14 CAPS.",,3
MAV135,HIDROCLOROTIAZIDA 25 MG C/20 TABS,,1
RAAM5,ENALAPRIL 10MG C/30 TABS.,,1
RAAM6,"SILDENAFIL, 50MG, C/10 TABS",,3
RAAM7,"DOXICICLINA EQUIVALENTE A 100 MG DE DOCICILINA, EXCIPIENTE CBP 1 CAPSULA",,3
NOV67,"LEVOCETIRIZINA, 5MG, 21 TABS (NOVAG)",,3
AMS5,ALECTROLITOS ORALES SOLUCION REHIDRATANTE CONT 300 ML SABOR UVA,,3
AMS6,ELECTROLITOS ORALES SOLUCION REHIDRATANTE CONT. 300 ML SABOR MANZANA,,3
AMS7,ELECTROLITOS ORALES SOLUCION REHIDRATANTE CONT. 300 ML SABOR FRESA,,3
FAR15,"IBUPROFENO, 400MG., 10 CAPS.",,3
VAR61,"CALAMINA, GLICERINA, METILPARABENO, PROPILPARABENO, POLISORBATO 80, CARBOXIMETILCELULOSA, FRAGANCIA",,3
CON28,"AMANTADINA, CLORFENAMINA, PARACETAMOL, 2.500/0.100/ 15.000 G 30 ML,GTS.",,3
CON29,"DEXTROMETORFANO, GUAIFENESINA, 100/ 2.0 G, INF. 100 ML, SUSP.",,1
LOE27,"NIMESULIDA, 1.0 G, 120 ML, SUSP.",,1
MAV177,"BIFONAZOL, 1G, 20G, CMA. MIBIFON",,3
ACO10,"ROSUVASTATINA, 20 MG, 30 TABS.",,1
AVIVIA10,"DICLOFENACO, COMPLEJO B, 50/50/50/1 G, 30 TABS.  ARIFLAM FORTE",,3
DAN7,"PROTEINA DE SOYA, VITAMINA A, VITAMINA D3, 400 G.",,3
DAN8,"PROTEINA DE SOYA, VITAMINA A, VITAMINA D3, 400 G.",,3
DAN9,"PROTEINA DE SOYA, VITAMINA A, VITAMINA D3, 400 G.",,1
DKT13,"LUBRICANTE SABOR GROSELLA, 75ML.",,3
DKT14,"LUBRICANTE SABOR UVA, 75ML.",,3
DKT15,LUBRICANTE SABOR NARANJA. 75ML.,,3
DKT16,PRESERVATIVO,,1
DKT17,***ANILLO TERREMOTO VIBRADOR (PRUDENCE),,3
MVI67,"SILDENAFIL 100MG, 10 TABS.",,3
LIF25,"LORATADINA, 100 MG,  30 ML, GTAS.",,1
LIF26,"LORATADINA, AMBROXOL, 100/600 MG, 120 ML",,1
LIF27,"METAMIZOL, 300 MG, 5 SUPO.",,1
LIF28,"DEXTROMETORFANO, GUAIFENESINA, 300/1.5 MG JBE",,3
LIF29,"NAPROXENO, PARACETAMOL, 275/300 MG, 10 TABS.",,1
LIF30,"BROMURO DE PINAVERIO, 100 MG, 14 TABS.",,3
LIF31,"NAPROXENO, CARISOPRODOL 250/200 MG, 30 CAPS",,3
LIF32,"METAMIZOL, 500 MG, 15 ML, GTS.",,1
LIF33,"FURAZOLIDONA, CAOLIN, PECTINA, .500/20/1.5 GR 118 ML SUSP.",,1
LIF34,"METOCLOPRAMIDA, 10 MG, 20 TABS.",,1
LIF35,"MICONAZOL, 2 % 20 G, CREMA",,1
LIF36,"DICLOFENACO, 1.G, 60 GR, CREMA.",,1
LIF37,"DICLOFENACO, 100 MG, 10 GRAG.",,1
LIF38,"LORATADINA, 10 MG, 10 TABS.",,1
LIF39,"ACIDO RETINOICO, 0.05 % 20 G, CREMA.",,3
NAF2,"OMEPRAZOL, 20MG, 14CAPS",,1
LIF41,"PIROXICAM, 20 MG, 20 TABS.",,1
LIF42,"PIROXICAM, 0.5 GR, 30 G, CREMA.",,3
LIF43,"LORATADINA, FENILEFRINA, 0.050/200 G, 60 ML, JBE.",,1
LIF44,"ALUMINIO, MAGNESIO, DIMETICONA, 3.7/4.0/0.5 G, 240 ML.",,1
AMB1,GUANTE CHICO** ESTERIL C/100PZ  AMBID,,3
AMB2,GUANTE MEDIANO** ESTERIL C/100PZ AMBI,,3
AMB,GUANTE GRANDE** ESTERIL C/100PZ AMBID,,3
ULTR1,"OMEPRAZOL, 20MG, 30 CAPS.",,3
ULTR2,"OMEPRAZOL, 20MG, 7 CAPS.",,1
AVIVIA42,"DICLOFENACO, 100MG, 20 TABS.",,3
ULTR4,"KETOROLACO, 10 MG, 10 TABS.",,3
ULTR5,"LEVONORGESTREL 1.5 MG, 1 TAB.    LADIADES",,3
ULTR6,"LEVONORGESTREL 0.75 MG, 2 TABS. LADIADES",,3
ULTR7,"OMEPRAZOL, 20MG, 14 CAPS.",,1
NAT59,"MULTIVITAMINICO, B3, B5,B2,  B1, B6.500MG,30TABS.",,3
AVIVIA64,LOSARTAN HIDROCLOROTIAZIDA 100/25 C/15,,1
OFE6,MECLIZINA 8.33 MG CLORHIDRATO DE PIRIDOXINA 16.00 ML VEHICULO CBP 1 ML,,3
OFE7,MECLIZINA 25 MG CLORHIDRATO DE PIRIDOXINA 50 MG EXCIPIENTE 1 TABLETA,,3
OFE8,CAOLIN 20 G PECTINA 1 G VEHICULO CBP 100 ML,,3
ULTR8,"NIMESULIDA , 100 MG, 10 TABS.",,1
MAV137,"SILDENAFIL, 100MG, 4 TABS.",,3
MAV138,"SILDENAFIL, 50MG, 1 TAB.",,3
AMS62,"BUDESONIDA,500 MG, 2ML, 5 AMP. NEBULIZAR.",,3
ULTR9,MONO,,1
RAAM8,AZITROMICINA DIHIDRATADA EQUIVALENTE A: 500 MG DE AZITROMICINA EXCIPIENTE CBP 1 TABLETA,,3
CON30,"QUINFAMIDA, ALBENDAZOL, 200/400 MG, 20 ML, SUSP.",,3
JAL40,REPELETE DE MOSQUITOS 60ML. C/ATOM.,,1
JAL41,CREMA DE ARNICA SUAVIZANTE 60GR JALOMA,,3
JAL42,***VASELINA DE BEBE TARRO C/60G,,3
JAL43,"ANTISEPTICO, ESPUMA, 120ML.JAL.",,1
JAL44,CREMA,,1
JAL45,"ANTISEPTICO BUCOFARINGEO, 120MLJAL.",,1
JAL46,"ACEITES, 3OLIVO,ALMENDRAS,RICINO. 60ML.",,1
JAL47,TORUNDA 500G. JAL.,,3
JAL48,CREMA,,1
JAL49,"ANTISEPTICO SOLUCION, 120ML. JAL.",,1
GEN1,"TRAMADOL, 50MG., 10 TABS.",,1
LAND6,TELMISARTAN 40 MG C/30 TABS,,1
GEN3,"TRAMADOL, 100MG., 10 TABS.",,1
GEN4,"AZITROMICINA, 500MG., 3 CAPS.",,1
GEN5,"IBUPROFENO, 400MG., 10 TABS.",,3
GEN6,"OMEPRAZOL, 20MG., 60 CAPS.",,1
GEN7,"IBUPROFENO, 600MG., 10 TABS",,3
GEN8,"IBUPROFENO, 800MG., 10 TABS.",,3
GEN9,"OMEPRAZOL, 20MG., 60+60 CAPS",,3
ULTR10,"OMEPRAZOL, 20MG, 120 CAPS.",,3
SER28,"TERBINAFINA, 250MG., 28 TABS.",,1
GEN11,"METFORMINA, 850MG. 30 TABS.",,1
MVI68,HIDROXIZINA 10MG C/30 GRAG.,,3
MVI69,"KETOROLACO, TRAMADOL 10MG/25 MG, 4 TAB.",,3
AMS8,"AMIKACINA, INY, 100 MG, 2 ML, 2 AMP.",,3
AMS9,"AMIKACINA, INY, 500 MG, 2 ML, 1 AMP.",,3
AMS10,"DICLOXACILINA, 500 MG, 20 CAPS.",,3
JAL50,"GASA 10X10 C/10 SOBRES, JALOMA",,3
JAL51,BIBERON,,1
MAV136,"ESCITALOPRAM, 10MG, 14 TABS.",,3
CMD44,"SAW PALMETO, 30 CAPS. BLISTER",,3
CMD45,"CIMIFUGA RACEMOSA 40MG, 60 TABS.",,3
CMD46,,,1
AMB3,"ABATELENGUAS, C/100 PZAS",,3
AMS11,"DIFENIDOL, INY, 40 MG, 2 ML, 2 AMP.",,3
AMS12,"METAMIZOL, INY 1 G, 2 ML, 3 AMP.",,3
SER7,"SILDENAFIL, 100MG, 20 TABS.",,3
AVIVIA39,"OMEPRAZOL, 20MG, C/14CAPS",,1
VAR23,MOMETASONA MONOHIDRATADO EQUIVALENTE A 0.50 MG DE FUROATO DE MOMETASONA VEHICULO CBP 1 G,,1
CMD47,"MIEL DE ABEJA,EUCALIPTO,GORDOLOBO,MIRRA, 240ML. JBE.",,3
CMD48,,,1
ULTR11,"SILDENAFIL 50MG, 4 TAB.
",,3
MVI70,PRUEBA FERTILIDAD,,1
ULTR12,"NIFEDIPINO, 30MG, 30 TABS.",,3
ULTR13,"TELMISARTAN, 40 MG, 30 TABS.",,1
ULTR41,"CLOPIDOGREL, 75MG, 14 TABS.",,1
ULTR42,"CLOPIDOGREL, 75MG, 28 TABS.",,1
MAV139,"ETILEFRINA, 7.5MG, 20ML, GTS.",,1
MAV140,"CEFIXIMA, 400 MG, 6 CAPS.",,1
AMS13,"FINASTERIDA, 5 MG, 30 TABS.",,3
VAR62,ELECTROLITOS,,3
LIF46,"IBUPROFENO, PARACETAMOL, 325/200 MG, 10 TABS.",,1
LIF47,"PARACETAMOL, PARACETAMOL 500/10 MG, 10 TABS.",,1
ACO6,"CIPROFLOXACINO, 500 MG, 14 TABS.",,3
LIF48,"AMBROXOL, DEXTROMETORFANO, 113/150 MG 120 ML JBE.",,1
LIF49,"AMBROXOL, DEXTROMETORFANO, 225/225 MG, 120 ML JBE.",,1
LIF50,"ALUMINIO, MAGNESIO, SIMETICONA, 3.7/4.0/0.5 G, 360 ML.",,3
RAAM9,AZITROMICINA DIHIDRATADA EQUIVALENTE A: 500 MG DE AZITROMICINA EXCIPIENTE CBP 1 TABLETA,,3
QUIM1,"IBUPROFENO, 40.00 MG,1.00 ML, 1M, 20 GTS.",,3
LIF51,"ACICLOVIR, 5 G, CREMA.",,3
NIP10,"JERINGA, 3ML, 23GX 1"", 5 PZAS, AZUL, NIP.",,1
ULTR14,"ACIDO ACETILSALICILICO, 100MG, 30 TABS MIDOLEN",,3
ULTR15,"ENALAPRIL, 10MG, 30 TABS. ULTRA",,3
AVIVIA23,"LORATADINA, 10 MG, 20 TABS.",,1
ULTR17,"HIDROCLOROTIAZIDA, 25MG, 20 TABS.",,3
ULTR18,"CELECOXIB, 200MG, 10CAPS.",,3
ULTR19,IRBESARTAN HIDROCLOROTIAZIDA C/28 ULTRA  150/12.5MG,,3
ULTR20,"BROMURO DE PINAVERIO, 100MG, 14 TABS distental.",,3
ULTR21,"CLINDAMICINA, 300MG, C/16 TABS",,3
ULTR22,"MELOXICAM 7.5MG,14 TAB.",,1
ULTR23,MELOXICAM 15MG METOCARBAMOL 215MG 10 TAB.,,3
ULTR24,"ALENDRONATO, 70 MG, 4 TABS.",,3
ULTR25,"CAPTOPRIL, 25MG, 30 TABS.",,3
VAR65,"SULFATIAZOL, 6GR. POLVO",,1
ALPH15,"SULINDACO, 200 MG, 20 TABS.",,3
VAR67,PROPANOLOL 40MG C/30 TABS SINTASER (LAB. APOTEX),,3
MAV179,"KETOROLACO,10MG, 10 TABS.",,1
MAV141,"DIACEREINA, 50MG, 30 CAPS.",,3
OFE9,"MECLIZINA 25MG, CLORHIDRATO DE PIRIDOXINA 50MG",,3
CMD49,"ECHINACEA, 60  CAPS.",,1
VAR69,"AMIKACINA, INY, 500MG, 2ML, 1 AMP. (LAB. PISA)",,3
RAND1,CAJA CON FRASCO SUSP. 300 MG / 100 ML DE 120 ML,,3
RAND2,CAJA CON 20 TABLETAS DE 30 MG,,3
RAND3,CAJA CON 30 TABLETAS DE 200 MG,,3
RAND4,"ENVASE C/12 COMPRIMIDOS DE 500 MG
",,3
RAND5,"PARACETAMOL, CAFEINA, FENILEFRINA, CLORFENAMINA. CAJA C/10 TABS. DE 500/25/5/4 MG.",,3
RAND6,CAJA CON 20 TABLETAS DE 50 MG,,3
NIP11,"JERINGA, 5ML, 21GX1.1/4"", 5PZAS. VDE. NIP.",,1
AMB4,CUBREBOCAS* 3PLIEGOS ROSA,,3
JAYOR1,"JERINGA INSULINA, 27X13, 1ML. 100 PZAS.  DESMONTABLE JAYOR.",,3
JAYOR2,"JERINGA INSULINA, 31X6 MORADA, 0.5ML. 100 PZAS JAYOR",,3
JAYOR3,"JERINGA NEGRA, 22X32, 3ML. 100 PZAS. JAY.",,3
JAYOR4,"JERINGA AZUL, 23X25, 3ML. 100 PZAS. JAY.",,3
JAYOR5,"JERINGA VERDE, 21X32, 5ML- 100 P´ZAS. JAY.",,3
JAYOR6,"JERINGA NEGRA, 22X32, 5ML. 100 PZAS. JAY.",,3
JAYOR7,"CLORURO DE SODIO, 0.09 %, 1000ML.SOL.",,3
JAYOR8,"JERINGA VERDE, 21X32, 3ML. 100 PZAS. JAY.",,3
JAYOR9,BOTIQUIN C/29 PZAS PRIMEROS AUXILIOS,,1
JAYOR10,TERMOMETRO ORAL MERCURIO,,3
JAYOR11,"TERMOMETRO CLINICO DIGITAL, SM.",,1
VAR70,BROMURO DE IPRATROPIO 6 MG VEHICULO CBP 1 FRASCO (20 UG POR DOSIS,,1
AMS14,"KETOROLACO, SL, 30 MG, 6 TABS.",,3
TOC1,"FLUOCINOLONA, 0.50 MG, METRONIDAZOL, 0.500 MG, NISTATINA, 100,000 U, 10 OVULOS.",,3
AMS15,"CEFOTAXIMA, INY, 1 GR, IM, 1 AMP.",,3
AMS16,"CEFOTAXIMA, INY, 500 MG, IM, 1 AMP.",,3
AMS17,"METOCLOPRAMIDA, INY, 10 MG, 2 ML, 6 AMP.",,3
DKT18,"PRESERVATIVO ANILLOS, C/3 PZAS
CON PUNTOS",,3
AVIVIA43,"IRBERSARTAN, 150 MG, 14 TABS.",,1
DKT20,"PRESERVATIVO CARIBBEAN MIX, 5 PZAS.",,3
DKT21,"LUBRICANTE SANOR NATURAL, 75ML.",,3
MAV188,"LOSARTAN, HIDROCLOROTIAZIDA, 100/25MG, 15 COMPS.",,3
LOE29,AMBROXOL SOL 120 ML,,3
LOE30,"LORATADINA SUSPENSION, 100 MG, 60 ML, SOL.",,3
LOE31,"FENITOINA, 100 MG, 50 TABS.",,3
RAAM10,ORLISTAT 120 MG EXCIPIENTE CBP 1 CAPSULA,,3
BIOM1,"BEZAFIBRATO, 200mg. 30 TABS.",,3
BIOM2,.,,3
BIOM3,"ACICLOVIR , 200mg.  25 TABS.",,3
BIOM4,"AMBROXOL, 30MG, 20 TABS.",,3
BIOM5,"FUROSEMIDA, 40MG, 20 TABS.",,3
BIOM6,"CLORFENAMINA, 4MG, 20 TABS.",,3
BIOM7,"LOPERAMIDA, 2MG. 12 TABS.",,3
BIOM8,"GUAIFENESINA,OXOLAMINA, 140ML. SUSP.",,3
BIOM9,"MICONAZOL,  2%, 20G.CMA.",,3
BIOM10,"METRONIDAZOL, 500mg. 20 TABS.",,3
BIOM11,"COLCHICINA, 1MG, 30 TABS.",,3
BIOM12,"AMPICILINA, 500MG. 20 CAPS.",,3
BIOM13,"METFORM/GLIBENC,500MG/5MG, 60 TABS.",,3
BIOM14,"DEXT/GUAIF, 100MG/150MG, 120ML. SUSP.",,3
BIOM15,"RANITIDINA,150mg, 20 GRAG.",,1
BIOM16,"RANITIDINA,300mg, 10 GRAG.",,1
BIOM17,"METFORM/GLIBENC,500MG/2.5MG, 30 TABS.",,3
BIOM18,"METFORM/GLIBENC,500MG/5MG, 30 TABS.",,3
BIOM19,"RANITIDINA, 4.00G, 30ML. GTS.",,1
SER8,"LINCOMICINA, 600MG, 6 AMP, INY.",,1
PIS2,"DEXAMETASONA EQUIVALENTE A 8MG, VEHICULO CBP 2ML",,3
BRU25,"AMOXICILINA AMBROXOL, 4.500G/0.270G, 90ML. SUSP.",,3
MAV142,"AMOXICILINA, ACIDO CLAVULANICO, 600/42.9 MG, 50 ML, SUSP.",,3
OFE10,RETINOL (PALMITATO DE VITAMINA A) 5000 U.I. ERGOCALCIFEROL VITAMINA D2 400 U.I. VEHICULO CBP,,1
OFE11,TRAMADOL 37.5 MG PARACETAMOL AL 90 % PARA COMPRESION DIRECTA EQUIVALENTES A,,1
DEG37,"TRIMEBUTINA, 200MG., 20 TABS.",,3
BIOM20,"AMBROXOL, 120ML. SUSP.",,3
BIOM21,"TERBINAFINA, 1G, 15 G, CMA.",,3
AMS18,"LORATADINA, AMBROXOL, 100/600MG, 30ML, GTAS",,3
AMB5,CATETER** INTRAVENOSO 24G AMARILLO,,3
AMB6,CATETER** INTRAVENOSO 22G AZUL,,3
AMB7,CATETER** INTRAVENOSO 20G ROSA,,3
AMB8,CATETER** INTRAVENOSO 18G VERDE,,3
VAR7,"OMEPRAZOL, 20 MG , 15 CAPS",,3
DALUX2,CREMA COSMETICO,,1
AVIVIA21,"LOSARTAN, 50 MG, HIDROCLOROTIAZIDA 12.5 MG ,30 TABS.",,1
VAR33,"NEOMICINA, POLIMIXINA B,BACITRACINA, UNG.",,3
VAR30,"FENIRAMINA, NAFAZOLINA 3.0/0.16 G, 5 ML, GTS.",,1
DALUX6,CREMA COSMETICO,,1
LAND2,"ITRACONAZOL , 100MG, 15 CAPS.",,1
CALUX8,"CLARITROMICINA, 500MG, 10 TABS.",,1
DALUX8,CREMA COSMETICO,,1
DALUX9,CREMA COSMETICO,,1
DALUX10,CREMA COSMETICO,,1
DALUX11,CREMA COSMETICO,,1
LAND4,"METFORMINA CLORHIDRATO TABS 850MG, CAJA C/30   PISA",,1
LAND1,"LEVOFLOXACINO,750 MG, 7 TABS.",,1
WERM1,"AZITROMICINA, 500MG, 3 TABS",,3
VAR72,"NEOMICINA,POLIMIXINA, BACITRACINA 3.5/5000U/400U.",,1
VAR73,"BELLADONA, 50 MG, BOLDO,1 G, EXTRACTO DE CYNARA, 1G, MAGNESIO, 25G, 100 G.",,1
FAR16,"IBUPROFENO,CAFEINA, 400/100MG., 10 CAPS. ANTES BRYSBAL",,3
AMS19,"AMOXICILINA, 500 MG, 12 CAPS.",,3
AMS20,"GENTAMICINA, INY, 160 MG, 2 ML, 1 AMP.",,3
AMS21,"GLIMEPIRIDA, 2 MG, 15 TABS.",,1
AMS22,"GLIMEPIRIDA, 4 MG, 15 TABS.",,1
AMS23,"HIPROMELOSA, OFT, 5 %, 10 ML. GTS",,3
AMS24,"AMLODIPINO, 5 MG, 10 TABS.",,3
AMS25,"PANTOPRAZOL, 40 MG, 14 TABS.",,3
